City,Google Maps Link,Business Name,Rate,Specialty,Address,Phone,Notes
Newark,https://www.google.com/maps/place/Rebecca+Herman+RD/data=!4m7!3m6!1s0x89c24d622f94c68f:0x8dd05791f2131076!8m2!3d40.661529!4d-74.1954596!16s%2Fg%2F11n0tj8fm3!19sChIJj8aUL2JNwokRdhAT8pFX0I0?authuser=0&hl=en&rclk=1,Rebecca Herman RD,5,Nutritionist,��,(908) 220-7556,"""She has helped me so much with my confidence and my relationship with food."""
Newark,"https://www.google.com/maps/place/Christa+Brown+%7C+Registered+Dietitian+Nutritionist+%7C+Weight,+Diabetes+and+More/data=!4m7!3m6!1s0x89c3b5aa3351d72f:0x40778b0f6aca1315!8m2!3d40.5670197!4d-74.3339797!16s%2Fg%2F11mw502m89!19sChIJL9dRM6q1w4kRFRPKag-Ld0A?authuser=0&hl=en&rclk=1","Christa Brown | Registered Dietitian Nutritionist | Weight, Diabetes and More",4.9,Nutritionist,��,(732) 343-4805,"""She helped me manage my pre diabetes and high cholesterol."""
Newark,https://www.google.com/maps/place/East+Newark+Nutrition/data=!4m7!3m6!1s0x89c255ac330696b5:0xebec263fab71f0ae!8m2!3d40.7502459!4d-74.1593883!16s%2Fg%2F11vzv89ykm!19sChIJtZYGM6xVwokRrvBxqz8m7Os?authuser=0&hl=en&rclk=1,East Newark Nutrition,3,Nutritionist,401 N 2nd St,(732) 366-9369,
Newark,https://www.google.com/maps/place/Mom-N-Tot+Nutrition/data=!4m7!3m6!1s0x89c3ab54eb29accd:0x40e751073a48bb92!8m2!3d40.8344924!4d-74.1806317!16s%2Fg%2F11f5v3c623!19sChIJzawp61Srw4kRkrtIOgdR50A?authuser=0&hl=en&rclk=1,Mom-N-Tot Nutrition,5,Nutritionist,1285 Broad St,(973) 932-0644,Onsite services
Newark,https://www.google.com/maps/place/The+Nutrition+Sisters/data=!4m7!3m6!1s0x89c255622d6cb05f:0xe1459a41aa1993ac!8m2!3d40.808654!4d-74.1191031!16s%2Fg%2F11n0c01r6_!19sChIJX7BsLWJVwokRrJMZqkGaReE?authuser=0&hl=en&rclk=1,The Nutrition Sisters,5,Nutritionist,576 Valley Brook Ave Ste M1,(646) 389-9196,"""Very friendly and helpful."""
Newark,https://www.google.com/maps/place/Nutrition+spot/data=!4m7!3m6!1s0x89c3ad389ba22c91:0x23db0e33b09335e4!8m2!3d40.7305112!4d-74.2443298!16s%2Fg%2F11f731w913!19sChIJkSyimzitw4kR5DWTsDMO2yM?authuser=0&hl=en&rclk=1,Nutrition spot,5,Nutritionist,165 Franklin Terrace,(862) 452-3648,
Newark,https://www.google.com/maps/place/Herbalife+MLM+NUTRITION/data=!4m7!3m6!1s0x89c25340400f3783:0x368ca6664262eaf6!8m2!3d40.7249574!4d-74.1669109!16s%2Fg%2F11rgg45hs7!19sChIJgzcPQEBTwokR9upiQmamjDY?authuser=0&hl=en&rclk=1,Herbalife MLM NUTRITION,5,Sports nutrition store,90 Pacific St,(862) 208-8116,
Newark,https://www.google.com/maps/place/NutriCultures/data=!4m7!3m6!1s0x89c2534ff61b1929:0xedb3badf23d0514!8m2!3d40.8106437!4d-74.2137418!16s%2Fg%2F11hf73rxd8!19sChIJKRkb9k9TwokRFAU98q072w4?authuser=0&hl=en&rclk=1,NutriCultures,5,Nutritionist,292 Bloomfield Ave Fl 2,(201) 207-2158,"""Very clear in relating all information."""
Newark,"https://www.google.com/maps/place/Natalie+Y.+Roberts-Moore,+MS/data=!4m7!3m6!1s0x89c254abed16cdd1:0x67826a5d0a284edc!8m2!3d40.7523081!4d-74.2134659!16s%2Fg%2F1v3lqwbp!19sChIJ0c0W7atUwokR3E4oCl1qgmc?authuser=0&hl=en&rclk=1","Natalie Y. Roberts-Moore, MS",5,Nutritionist,��,(973) 674-8100,
Newark,https://www.google.com/maps/place/Pathway+Nutrition+LLC/data=!4m7!3m6!1s0x8e7c47c46d997203:0x843ad04f83bc2c32!8m2!3d40.9014095!4d-73.9796294!16s%2Fg%2F11vwdsrggy!19sChIJA3KZbcRHfI4RMiy8g0_QOoQ?authuser=0&hl=en&rclk=1,Pathway Nutrition LLC,5,Dietitian,��,(516) 234-0819,
Newark,https://www.google.com/maps/place/Callie+Exas+Nutrition+%26+Wellness/data=!4m7!3m6!1s0x4e98d8838546b2e1:0x3eca65922b6bdf2e!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11y7b74sbq!19sChIJ4bJGhYPYmE4RLt9rK5Jlyj4?authuser=0&hl=en&rclk=1,Callie Exas Nutrition & Wellness,5,Nutritionist,,,"""I highly recommend working with her!"""
Newark,https://www.google.com/maps/place/East+West+Nutrition/data=!4m7!3m6!1s0x89c2ffc30d634351:0x793f9ca0b2ba2769!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11g8cyj1s6!19sChIJUUNjDcP_wokRaSe6sqCcP3k?authuser=0&hl=en&rclk=1,East West Nutrition,5,Nutritionist,��,(973) 495-9237,"""Cam takes the time to listen and study the full picture."""
Newark,https://www.google.com/maps/place/The+Balanced+Diet+LLC/data=!4m7!3m6!1s0x88e4a0c5ef24e0b:0x6075f3faf16c92d5!8m2!3d40.7780585!4d-74.079162!16s%2Fg%2F11smhvt0yc!19sChIJC07yXgxKjggR1ZJs8frzdWA?authuser=0&hl=en&rclk=1,The Balanced Diet LLC,,Dietitian,,(347) 644-8747,
Jersey City ,https://www.google.com/maps/place/Laura+Lacey+Nutrition/data=!4m7!3m6!1s0x89c2574d723709d1:0x22b15be0c1c219a!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F1thvtm19!19sChIJ0Qk3ck1XwokRmiEcDL4VKwI?authuser=0&hl=en&rclk=1,Laura Lacey Nutrition,5,Nutritionist,,(201) 927-0648,"""The meal plan I got was so easy to follow and the meals were tasty."""
Jersey City ,https://www.google.com/maps/place/Jalpa+Sheth+Nutrition+%26+Wellness+LLC/data=!4m7!3m6!1s0x89c2576d4613fa25:0x3851645ad61ed050!8m2!3d40.7189857!4d-74.034424!16s%2Fg%2F11gdpzfcln!19sChIJJfoTRm1XwokRUNAe1lpkUTg?authuser=0&hl=en&rclk=1,Jalpa Sheth Nutrition & Wellness LLC,4.8,Nutritionist,"185 Hudson St 5, Suite 2500",(201) 744-0542,"""Jalpa Sheth helped me successfully navigate my nutritional issues."""
Jersey City ,https://www.google.com/maps/place/Center+for+Medical+Nutrition+Therapy-+Marilyn+R+Quintana+RDN/data=!4m7!3m6!1s0x89c250ddd153c22d:0x4784ccb7d7507c0b!8m2!3d40.7329633!4d-74.0592495!16s%2Fg%2F1v3kjf4r!19sChIJLcJT0d1QwokRC3xQ17fMhEc?authuser=0&hl=en&rclk=1,Center for Medical Nutrition Therapy- Marilyn R Quintana RDN,3.8,Nutritionist,550 Summit Ave,(551) 486-6604,"""Helped us understand the basics and improve diet plan."""
Jersey City ,https://www.google.com/maps/place/Pathway+Nutrition+LLC/data=!4m7!3m6!1s0x8e7c47c46d997203:0x843ad04f83bc2c32!8m2!3d40.9014095!4d-73.9796294!16s%2Fg%2F11vwdsrggy!19sChIJA3KZbcRHfI4RMiy8g0_QOoQ?authuser=0&hl=en&rclk=1,Pathway Nutrition LLC,5,Dietitian,,(516) 234-0819,
Jersey City ,https://www.google.com/maps/place/Well+By+Mel+Nutrition+%7C+Prenatal+Dietitian/data=!4m7!3m6!1s0x38c69697e85e5:0x288554b449586147!8m2!3d40.9371538!4d-73.8207747!16s%2Fg%2F11vyvj7wg9!19sChIJ5YV-aWmMAwARR2FYSbRUhSg?authuser=0&hl=en&rclk=1,Well By Mel Nutrition | Prenatal Dietitian,5,Dietitian,,(201) 208-2578,"""She was so informative and provided incredible guidance."""
Jersey City ,"https://www.google.com/maps/place/Diana+Orchant+Nutrition,+LLC/data=!4m7!3m6!1s0x68c083881ea4bdeb:0xcdf22db979014e95!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11r_xh248f!19sChIJ672kHoiDwGgRlU4Bebkt8s0?authuser=0&hl=en&rclk=1","Diana Orchant Nutrition, LLC",5,Nutritionist,,(929) 251-4852,"""She helped me adjust my diet so I was eating much healthier foods."""
Jersey City ,https://www.google.com/maps/place/Real+Nutrition+From+A+to+Z/data=!4m7!3m6!1s0x2f8539170c576237:0xddb6e2922a2cedd8!8m2!3d40.7854705!4d-74.0082484!16s%2Fg%2F11v010gw8c!19sChIJN2JXDBc5hS8R2O0sKpLitt0?authuser=0&hl=en&rclk=1,Real Nutrition From A to Z,,Nutritionist,,(201) 551-9744,
Jersey City ,https://www.google.com/maps/place/Laura+Lagano+Nutrition+LLC/data=!4m7!3m6!1s0x89c259d8ebc8f8cd:0x7b1d5425f0a453c0!8m2!3d40.748141!4d-74.0283483!16s%2Fg%2F1tcv_bbn!19sChIJzfjI69hZwokRwFOk8CVUHXs?authuser=0&hl=en&rclk=1,Laura Lagano Nutrition LLC,4.5,Nutritionist,931 Bloomfield St,(917) 829-0250,
Jersey City ,https://www.google.com/maps/place/Jo+Strong/data=!4m7!3m6!1s0x89c25738f2b81619:0xc0bbc5b36aaab266!8m2!3d40.7264553!4d-74.0342103!16s%2Fg%2F11gh9mj20r!19sChIJGRa48jhXwokRZrKqarPFu8A?authuser=0&hl=en&rclk=1,Jo Strong,5,Personal trainer,123 Town Square Pl suite 213,(201) 878-6199,Onsite services
Jersey City ,https://www.google.com/maps/place/Wombzy+Nutrition/data=!4m7!3m6!1s0x27af3a719bcbed71:0x850a8f55158e2c27!8m2!3d40.771918!4d-74.0120284!16s%2Fg%2F11rl25p4jp!19sChIJce3Lm3E6rycRJyyOFVWPCoU?authuser=0&hl=en&rclk=1,Wombzy Nutrition,5,Nutritionist,,(551) 574-0446,"""She is passionate, knowledgable,  dependable, and an expert in the field."""
Jersey City ,https://www.google.com/maps/place/Rachel+Naar+Nutrition/data=!4m7!3m6!1s0xa5dd49b2abf4411:0x2d373b5b179b743!8m2!3d36.4349614!4d-98.134621!16s%2Fg%2F11s46ghsxd!19sChIJEUS_KpvUXQoRQ7d5sbVz0wI?authuser=0&hl=en&rclk=1,Rachel Naar Nutrition,5,Dietitian,,(929) 265-0791,"""Such friendly and professional"
Jersey City ,https://www.google.com/maps/place/MBK+Nutrition+%26+Wellness/data=!4m7!3m6!1s0x89c25758a92f74ad:0xd34c519eae1d2d8d!8m2!3d40.7366329!4d-74.0303249!16s%2Fg%2F1pzpt81nh!19sChIJrXQvqVhXwokRjS0drp5RTNM?authuser=0&hl=en&rclk=1,MBK Nutrition & Wellness,,Nutritionist,51 Newark St. #407,(201) 632-5767,
Jersey City ,"https://www.google.com/maps/place/Ashley+Beale+Nutrition,+PLLC/data=!4m7!3m6!1s0x84bda0cca97e44db:0xb06baf520ab68eae!8m2!3d40.6974881!4d-73.979681!16s%2Fg%2F11vx3b6s3l!19sChIJ20R-qcygvYQRro62ClKva7A?authuser=0&hl=en&rclk=1","Ashley Beale Nutrition, PLLC",5,Nutritionist,,(917) 524-9307,"""Ashley is a highly skilled and compassionate dietitian."""
Jersey City ,https://www.google.com/maps/place/Jamie+FWD/data=!4m7!3m6!1s0x89c251707fcd86c3:0xb35cc9245e71b42a!8m2!3d40.6974881!4d-73.979681!16s%2Fg%2F11j_ps13rv!19sChIJw4bNf3BRwokRKrRxXiTJXLM?authuser=0&hl=en&rclk=1,Jamie FWD,,Nutritionist,,(585) 281-1933,
Jersey City ,"https://www.google.com/maps/place/Kristin+J.+Reisinger,+MS/data=!4m7!3m6!1s0x89c257485a8e0261:0x9618f9a4c979db0e!8m2!3d40.7342535!4d-74.0497949!16s%2Fg%2F1tcw92n8!19sChIJYQKOWkhXwokRDtt5yaT5GJY?authuser=0&hl=en&rclk=1","Kristin J. Reisinger, MS",1,Nutritionist,,(201) 795-8303,
Jersey City ,https://www.google.com/maps/place/biaBIA+NUTRITION/data=!4m7!3m6!1s0x89c250b107f1ceb7:0xad073961fea2cc6b!8m2!3d40.7175154!4d-74.0446024!16s%2Fg%2F11hzyst9p8!19sChIJt87xB7FQwokRa8yi_mE5B60?authuser=0&hl=en&rclk=1,biaBIA NUTRITION,,Nutritionist,,(646) 244-1370,
Jersey City ,https://www.google.com/maps/place/Momentum+Weight+%26+Wellness+Center/data=!4m7!3m6!1s0x89c257681acc90cd:0xeb3785f306aa62cd!8m2!3d40.7336785!4d-74.0503436!16s%2Fg%2F11swbzzxd5!19sChIJzZDMGmhXwokRzWKqBvOFN-s?authuser=0&hl=en&rclk=1,Momentum Weight & Wellness Center,,Medical group,142 Palisade Ave # 208,(201) 821-8903,
Jersey City ,https://www.google.com/maps/place/Nutrition+%26+Health+Center+Inc./data=!4m7!3m6!1s0x89c3b2ae80ae28b5:0xeb9bc9c7ef24888c!8m2!3d40.6629928!4d-74.2241285!16s%2Fg%2F11f_4s6fvy!19sChIJtSiugK6yw4kRjIgk78fJm-s?authuser=0&hl=en&rclk=1,Nutrition & Health Center Inc.,4.6,Weight loss service,,(908) 469-9440,"""I lost 15 pounds working with our"
Jersey City ,"https://www.google.com/maps/place/Susana+L.+Mendelson,+RD/data=!4m7!3m6!1s0x89c2575e0f1a5f1d:0x5b7aec5a5c20cd9f!8m2!3d40.7412948!4d-74.0352807!16s%2Fg%2F1tjl6tqp!19sChIJHV8aD15XwokRn80gXFrsels?authuser=0&hl=en&rclk=1","Susana L. Mendelson, RD",5,Nutritionist,,(201) 637-2631,
Jersey City ,https://www.google.com/maps/place/About+Nutrition+Perspective/data=!4m7!3m6!1s0x89c250b23d7305fb:0xdd16a609fa515115!8m2!3d40.71991!4d-74.043313!16s%2Fg%2F11gfgvypnj!19sChIJ-wVzPbJQwokRFVFR-gmmFt0?authuser=0&hl=en&rclk=1,About Nutrition Perspective,,Health consultant,121 Newark Ave,(201) 210-5420,
Jersey City ,https://www.google.com/maps/place/Body+Bliss+Nutrition/data=!4m7!3m6!1s0x89c25a140c500001:0xfb068a5eabda8462!8m2!3d40.7037765!4d-74.0119032!16s%2Fg%2F11f63x8_sj!19sChIJAQBQDBRawokRYoTaq16KBvs?authuser=0&hl=en&rclk=1,Body Bliss Nutrition,5,Nutritionist,90 Broad St 2nd Floor,(646) 564-3818,"""She has tailored my diet and supplements to fit my unique body's needs."""
Jersey City ,https://www.google.com/maps/place/New+York+City+Nutrition/data=!4m7!3m6!1s0x89c259a5dbee6077:0x7840ad73fbfea715!8m2!3d40.7446272!4d-73.9877157!16s%2Fg%2F11c5wllffl!19sChIJd2Du26VZwokRFaf--3OtQHg?authuser=0&hl=en&rclk=1,New York City Nutrition,4.9,Nutritionist,,(212) 328-0195,"""Lorraine did an excellent job of reforming my diet for the better."""
Jersey City ,https://www.google.com/maps/place/Culina+Health+%E2%80%A2+Virtual+1:1+Nutrition+Care/data=!4m7!3m6!1s0x89c2593e33dd72c5:0x709b8149d16cad4d!8m2!3d34.7060845!4d-97.170432!16s%2Fg%2F11n5fwhx_q!19sChIJxXLdMz5ZwokRTa1s0UmBm3A?authuser=0&hl=en&rclk=1,Culina Health ������ Virtual 1:1,4.9,Dietitian,,(917) 647-1665,"""She gave me specific and attainable goals that I have been able to achieve."""
Jersey City ,https://www.google.com/maps/place/Jordan+Kowalczewski/data=!4m7!3m6!1s0x89c250b2123aaaab:0x445e7b4402f447ba!8m2!3d40.7200335!4d-74.0426348!16s%2Fg%2F11rwxgc42n!19sChIJq6o6ErJQwokRukf0AkR7XkQ?authuser=0&hl=en&rclk=1,Jordan Kowalczewski,,Nutritionist,,(201) 309-2380,
Jersey City ,https://www.google.com/maps/place/Ms.+Amanda+Kirpitch/data=!4m7!3m6!1s0x89c250b23d73af1f:0xa868a2a8d425ec81!8m2!3d40.7199087!4d-74.04331!16s%2Fg%2F11qgb7rjmx!19sChIJH69zPbJQwokRgewl1KiiaKg?authuser=0&hl=en&rclk=1,Ms. Amanda Kirpitch,,Nutritionist,,(201) 210-5420,
Jersey City ,"https://www.google.com/maps/place/Danielle+Stark+Nutrition,+Registered+Dietitian+Nutritionist/data=!4m7!3m6!1s0x247b1deb0ded8a41:0xa3b11ca3389c8953!8m2!3d40.7813047!4d-73.9771184!16s%2Fg%2F11nnjh234q!19sChIJQYrtDesdeyQRU4mcOKMcsaM?authuser=0&hl=en&rclk=1","Danielle Stark Nutrition, Registered Dietitian Nutritionist",4.9,Dietitian,,(973) 954-0666,"""With her guidance, I lost almost 20 pounds in 90 days."""
Jersey City ,https://www.google.com/maps/place/Brianna+Koleva+-+FYT+Nutrition+%26+Training/data=!4m7!3m6!1s0x9aa9e3db51a9fdd:0xa657ec29cf09b982!8m2!3d40.7064445!4d-74.1012775!16s%2Fg%2F11lcbglqf5!19sChIJ3Z8atT2eqgkRgrkJzynsV6Y?authuser=0&hl=en&rclk=1,Brianna Koleva - FYT Nutrition & Training,5,Nutritionist,,(917) 994-1625,"""What sets her apart is her exceptional skill in customizing meal plans."""
Jersey City ,"https://www.google.com/maps/place/Elizabeth+Eilender,+RD/data=!4m7!3m6!1s0x89c250b22583e6eb:0x3b0b8619d6619ee2!8m2!3d40.7196646!4d-74.0441109!16s%2Fg%2F1tflbkph!19sChIJ6-aDJbJQwokR4p5h1hmGCzs?authuser=0&hl=en&rclk=1","Elizabeth Eilender, RD",,Nutritionist,,(646) 220-4198,
Jersey City ,https://www.google.com/maps/place/Maya+Feller+Nutrition+%7C+Registered+Dietitian+%26+Nutritionist/data=!4m7!3m6!1s0x2e9481d38c0b9623:0xb6d440ddd8d217fb!8m2!3d40.419584!4d-73.6754126!16s%2Fg%2F11pz76p88d!19sChIJI5YLjNOBlC4R-xfS2N1A1LY?authuser=0&hl=en&rclk=1,Maya Feller Nutrition | Registered Dietitian & Nutritionist,5,Nutritionist,,(917) 924-2673,
Jersey City ,https://www.google.com/maps/place/Fitness+Blueprint/data=!4m7!3m6!1s0x89c250a574596cef:0xcde7d9f397209714!8m2!3d40.7127236!4d-74.0391348!16s%2Fg%2F1tg9p0y6!19sChIJ72xZdKVQwokRFJcgl_PZ580?authuser=0&hl=en&rclk=1,Fitness Blueprint,5,Physical fitness program,,(201) 450-6049,
Jersey City ,https://www.google.com/maps/place/Well+Fed+Momma+Nutrition+and+Lactation/data=!4m7!3m6!1s0x4b384363dd78700f:0xcf51b9176bb5d95f!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11vspk5ly8!19sChIJD3B43WNDOEsRX9m1axe5Uc8?authuser=0&hl=en&rclk=1,Well Fed Momma Nutrition and Lactation,,Health consultant,,(201) 375-3626,
